PopName,Area,Year,YearReg,Month,VitalStat,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,1954,1954,1,1,23,O,7716,6,.,.,1
GBR_SCO,01,1954,1954,2,1,23,O,7161,6,.,.,1
GBR_SCO,01,1954,1954,3,1,23,O,8579,6,.,.,1
GBR_SCO,01,1954,1954,4,1,23,O,8084,6,.,.,1
GBR_SCO,01,1954,1954,5,1,23,O,8304,6,.,.,1
GBR_SCO,01,1954,1954,6,1,23,O,7709,6,.,.,1
GBR_SCO,01,1954,1954,7,1,23,O,8173,6,.,.,1
GBR_SCO,01,1954,1954,8,1,23,O,7557,6,.,.,1
GBR_SCO,01,1954,1954,9,1,23,O,7093,6,.,.,1
GBR_SCO,01,1954,1954,10,1,23,O,7532,6,.,.,1
GBR_SCO,01,1954,1954,11,1,23,O,6925,6,.,.,1
GBR_SCO,01,1954,1954,12,1,23,O,7482,6,.,.,1
GBR_SCO,01,1954,1954,TOT,1,23,O,92315,6,.,.,1
GBR_SCO,01,1955,1955,1,1,23,O,7849,6,.,.,1
GBR_SCO,01,1955,1955,2,1,23,O,7007,6,.,.,1
GBR_SCO,01,1955,1955,3,1,23,O,8255,6,.,.,1
GBR_SCO,01,1955,1955,4,1,23,O,8152,6,.,.,1
GBR_SCO,01,1955,1955,5,1,23,O,8029,6,.,.,1
GBR_SCO,01,1955,1955,6,1,23,O,7761,6,.,.,1
GBR_SCO,01,1955,1955,7,1,23,O,7783,6,.,.,1
GBR_SCO,01,1955,1955,8,1,23,O,7718,6,.,.,1
GBR_SCO,01,1955,1955,9,1,23,O,7233,6,.,.,1
GBR_SCO,01,1955,1955,10,1,23,O,7900,6,.,.,1
GBR_SCO,01,1955,1955,11,1,23,O,7119,6,.,.,1
GBR_SCO,01,1955,1955,12,1,23,O,7733,6,.,.,1
GBR_SCO,01,1955,1955,TOT,1,23,O,92539,6,.,.,1
GBR_SCO,01,1956,1956,1,1,23,O,8223,6,.,.,1
GBR_SCO,01,1956,1956,2,1,23,O,7627,6,.,.,1
GBR_SCO,01,1956,1956,3,1,23,O,8744,6,.,.,1
GBR_SCO,01,1956,1956,4,1,23,O,8242,6,.,.,1
GBR_SCO,01,1956,1956,5,1,23,O,8730,6,.,.,1
GBR_SCO,01,1956,1956,6,1,23,O,7917,6,.,.,1
GBR_SCO,01,1956,1956,7,1,23,O,7862,6,.,.,1
GBR_SCO,01,1956,1956,8,1,23,O,7693,6,.,.,1
GBR_SCO,01,1956,1956,9,1,23,O,7099,6,.,.,1
GBR_SCO,01,1956,1956,10,1,23,O,8129,6,.,.,1
GBR_SCO,01,1956,1956,11,1,23,O,7222,6,.,.,1
GBR_SCO,01,1956,1956,12,1,23,O,7825,6,.,.,1
GBR_SCO,01,1956,1956,TOT,1,23,O,95313,6,.,.,1
GBR_SCO,01,1957,1957,1,1,23,O,8476,6,.,.,1
GBR_SCO,01,1957,1957,2,1,23,O,7775,6,.,.,1
GBR_SCO,01,1957,1957,3,1,23,O,8508,6,.,.,1
GBR_SCO,01,1957,1957,4,1,23,O,8481,6,.,.,1
GBR_SCO,01,1957,1957,5,1,23,O,8620,6,.,.,1
GBR_SCO,01,1957,1957,6,1,23,O,7873,6,.,.,1
GBR_SCO,01,1957,1957,7,1,23,O,8383,6,.,.,1
GBR_SCO,01,1957,1957,8,1,23,O,8309,6,.,.,1
GBR_SCO,01,1957,1957,9,1,23,O,7408,6,.,.,1
GBR_SCO,01,1957,1957,10,1,23,O,8606,6,.,.,1
GBR_SCO,01,1957,1957,11,1,23,O,7693,6,.,.,1
GBR_SCO,01,1957,1957,12,1,23,O,7845,6,.,.,1
GBR_SCO,01,1957,1957,TOT,1,23,O,97977,6,.,.,1
GBR_SCO,01,1958,1958,1,1,23,O,8642,6,.,.,1
GBR_SCO,01,1958,1958,2,1,23,O,7768,6,.,.,1
GBR_SCO,01,1958,1958,3,1,23,O,8690,6,.,.,1
GBR_SCO,01,1958,1958,4,1,23,O,8783,6,.,.,1
GBR_SCO,01,1958,1958,5,1,23,O,9037,6,.,.,1
GBR_SCO,01,1958,1958,6,1,23,O,7768,6,.,.,1
GBR_SCO,01,1958,1958,7,1,23,O,7821,6,.,.,1
GBR_SCO,01,1958,1958,8,1,23,O,7709,6,.,.,1
GBR_SCO,01,1958,1958,9,1,23,O,8005,6,.,.,1
