Time,Sex,Rate
Q4 1990,F ,1191.4
Q1 1991,F ,1197.1
Q2 1991,F ,1198.9
Q3 1991,F ,1196.4
Q4 1991,F ,1197.7
Q1 1992,F ,1189
Q2 1992,F ,1174.7
Q3 1992,F ,1170.4
Q4 1992,F ,1156.7
Q1 1993,F ,1143.7
Q2 1993,F ,1150.2
Q3 1993,F ,1152.4
Q4 1993,F ,1195.2
Q1 1994,F ,1192.7
Q2 1994,F ,1182.3
Q3 1994,F ,1179.7
Q4 1994,F ,1127.7
Q1 1995,F ,1127.7
Q2 1995,F ,1131.3
Q3 1995,F ,1126.5
Q4 1995,F ,1146.1
Q1 1996,F ,1159.8
Q2 1996,F ,1150.4
Q3 1996,F ,1148.4
Q4 1996,F ,1136.7
Q1 1997,F ,1141.3
Q2 1997,F ,1142.8
Q3 1997,F ,1137.4
Q4 1997,F ,1124.3
Q1 1998,F ,1090.4
Q2 1998,F ,1091.5
Q3 1998,F ,1092.4
Q4 1998,F ,1108.5
Q1 1999,F ,1141.7
Q2 1999,F ,1124
Q3 1999,F ,1115
Q4 1999,F ,1103.6
Q1 2000,F ,1098.1
Q2 2000,F ,1093.1
Q3 2000,F ,1083.1
Q4 2000,F ,1058.1
Q1 2001,F ,1027.3
Q2 2001,F ,1033.4
Q3 2001,F ,1034.9
Q4 2001,F ,1037.9
Q1 2002,F ,1030.3
Q2 2002,F ,1027.8
Q3 2002,F ,1034.3
Q4 2002,F ,1039.3
Q1 2003,F ,1035.3
Q2 2003,F ,1036.7
Q3 2003,F ,1037.7
Q4 2003,F ,1048.6
Q1 2004,F ,1044
Q2 2004,F ,1028.4
Q3 2004,F ,1013.1
Q4 2004,F ,983.2
Q1 2005,F ,989.3
Q2 2005,F ,993.1
Q3 2005,F ,984
Q4 2005,F ,972.2
Q1 2006,F ,959
Q2 2006,F ,952.4
Q3 2006,F ,946.4
Q4 2006,F ,936.9
Q1 2007,F ,932.1
Q2 2007,F ,923.2
Q3 2007,F ,919.8
Q4 2007,F ,932.3
Q1 2008,F ,923.8
Q2 2008,F ,927.1
Q3 2008,F ,925.6
Q4 2008,F ,934.4
Q1 2009,F ,934
Q2 2009,F ,914.3
Q3 2009,F ,901.2
Q4 2009,F ,875.1
Q1 2010,F ,863.5
Q2 2010,F ,862.9
Q3 2010,F ,863.3
Q4 2010,F ,865.1
Q1 2011,F ,858.7
Q2 2011,F ,853.8
Q3 2011,F ,849.2
Q4 2011,F ,832.4
Q1 2012,F ,832.6
Q2 2012,F ,840.5
Q3 2012,F ,839.8
Q4 2012,F ,847.1
Q1 2013,F ,854.7
Q2 2013,F ,858.9
Q3 2013,F ,852.1
Q4 2013,F ,840.8
Q1 2014,F ,816.1
Q2 2014,F ,795.7
Q3 2014,F ,802.1
Q4 2014,F ,814.1
Q1 2015,F ,856.4
Q2 2015,F ,868
Q3 2015,F ,864
Q4 2015,F ,853.5
Q1 2016,F ,823
Q2 2016,F ,825.1
Q3 2016,F ,825
Q4 2016,F ,828.9
Q1 2017,F ,847.4
Q2 2017,F ,835.4
Q3 2017,F ,830.5
Q4 2017,F ,827.8
