period,sex,allageesprate,allagestderr,allagelcli,allageucli,under75esprate,under75stderr,under75lcli,under75ucli,totdeaths
19931,M,2071.498198,12.8453349,2046.321342,2096.675054,916.5477591,6.73342931,903.3502377,929.7452806,29417
19931,P,1619.692764,6.373523635,1607.200658,1632.18487,709.1012117,3.994525799,701.2719411,716.9304823,61185
19932,F,1360.01882,7.291138849,1345.728188,1374.309452,536.1982833,4.713564166,526.9596976,545.4368691,32138
19932,M,2096.515634,12.87381347,2071.28296,2121.748309,920.0684117,6.734040473,906.8696924,933.267131,29737
19932,P,1637.688889,6.395933225,1625.15286,1650.224918,710.6490884,3.992774027,702.8232513,718.4749255,61875
19933,F,1364.83076,7.291810942,1350.538811,1379.12271,533.8050159,4.695402242,524.6020275,543.0080043,32297
19933,M,2097.2932,12.84010945,2072.126586,2122.459815,921.9072373,6.731083416,908.7143138,935.1001608,29768
19933,P,1642.129971,6.395381782,1629.595022,1654.664919,710.2472623,3.986380449,702.4339566,718.0605679,62065
19934,F,1418.094879,7.405196222,1403.580695,1432.609064,546.7424703,4.745408605,537.4414695,556.0434712,33545
19934,M,2155.224318,12.95567665,2129.831192,2180.617444,938.9585728,6.780140335,925.6694978,952.2476479,30504
19934,P,1697.791431,6.48104179,1685.088589,1710.494273,725.0369457,4.021332761,717.1551335,732.9187579,64049
19941,F,1405.862009,7.375432695,1391.406161,1420.317857,544.1989022,4.731515029,534.9251327,553.4726716,33276
19941,M,2139.617419,12.89694124,2114.339414,2164.895424,930.3833994,6.73796495,917.1769881,943.5898107,30261
19941,P,1682.986234,6.45110138,1670.342075,1695.630393,719.9878104,4.003203973,712.1415307,727.8340902,63537
19942,F,1379.564354,7.310105884,1365.236546,1393.892161,538.9416544,4.703136959,529.723506,548.1598029,32702
19942,M,2106.890696,12.7887305,2081.824785,2131.956608,920.8877409,6.692814311,907.7698249,934.005657,29864
19942,P,1654.063123,6.396042366,1641.52688,1666.599366,712.8229995,3.978041895,705.0260374,720.6199616,62566
19943,F,1375.949892,7.300812504,1361.6403,1390.259485,544.8969462,4.725287496,535.6353828,554.1585097,32658
19943,M,2077.216011,12.67526411,2052.372493,2102.059528,910.3242186,6.642916197,897.3041028,923.3443343,29578
19943,P,1641.291886,6.367119083,1628.812333,1653.77144,711.3439293,3.9687285,703.5652215,719.1226372,62236
19944,F,1300.415088,7.119427046,1286.461011,1314.369165,525.4818294,4.644117626,516.3793588,534.5842999,30912
19944,M,1974.024246,12.3493728,1949.819475,1998.229017,881.8196354,6.532589112,869.0157607,894.62351,28416
19944,P,1557.319999,6.213255397,1545.142019,1569.49798,687.9739383,3.902627581,680.3247882,695.6230883,59328
19951,F,1297.141776,7.099793587,1283.226181,1311.057371,523.2477829,4.633353231,514.1664106,532.3291552,30917
19951,M,1966.124033,12.27691076,1942.061287,1990.186778,881.1146646,6.527763149,868.3202488,893.9090804,28428
19951,P,1553.435151,6.194014455,1541.294883,1565.57542,686.7475326,3.898988129,679.1055159,694.3895493,59345
19952,F,1306.869619,7.109858991,1292.934295,1320.804943,523.4807294,4.639457988,514.3873917,532.574067,31233
19952,M,1955.049715,12.1925081,1931.152399,1978.947031,875.1319654,6.507996647,862.3762919,887.8876388,28363
19952,P,1556.574296,6.184906351,1544.45188,1568.696713,684.3379036,3.895147707,676.7034141,691.9723931,59596
19953,F,1290.612758,7.052143464,1276.790557,1304.434959,511.1163977,4.59094286,502.1181497,520.1146457,30931
19953,M,1952.099862,12.13883228,1928.30775,1975.891973,873.6062191,6.506189359,860.854088,886.3583503,28386
19953,P,1546.023776,6.15147284,1533.96689,1558.080663,677.1221405,3.878861112,669.5195727,684.7247083,59317
19954,F,1318.137762,7.102689968,1304.21649,1332.059035,514.4259233,4.609485856,505.391331,523.4605156,31709
19954,M,1978.821387,12.16654588,1954.974957,2002.667817,879.923347,6.532861752,867.118938,892.727756,28791
19954,P,1573.491817,6.184846865,1561.369517,1585.614117,681.8686146,3.89519699,674.2340285,689.5032007,60500
19961,F,1331.408622,7.122295428,1317.448923,1345.368321,517.6254981,4.627714979,508.5551768,526.6958195,32095
19961,M,1999.148063,12.177492,1975.280179,2023.015948,881.6302254,6.542013159,868.8078796,894.4525711,29100
19961,P,1588.722634,6.197821013,1576.574905,1600.870363,684.2529754,3.904114046,676.6009119,691.9050389,61195
19962,F,1315.362029,7.074730898,1301.495556,1329.228501,510.4150633,4.601613523,501.3959008,519.4342258,31759
19962,M,1999.121861,12.14872411,1975.310362,2022.933361,878.6407016,6.532752682,865.8365063,891.4448969,29131
19962,P,1578.048469,6.169587912,1565.956077,1590.140861,678.9674859,3.891869985,671.3394208,686.5955511,60890
19963,F,1313.548085,7.063899805,1299.702841,1327.393328,511.1629905,4.60876917,502.1298029,520.1961781,31779
19963,M,2008.325558,12.13433549,1984.54226,2032.108855,880.7066732,6.54179797,867.8847492,893.5285972,29333
19963,P,1579.744401,6.16249297,1567.665915,1591.822887,680.2046728,3.897009671,672.5665338,687.8428117,61112
19964,F,1298.278378,7.020290169,1284.518609,1312.038147,508.4486089,4.600124884,499.4323641,517.4648536,31445
19964,M,1987.546651,12.03560353,1963.956868,2011.136434,875.838342,6.522175994,863.0548771,888.621807,29207
