Quarter,Sex,Rate
20063,F,1116.6
20064,F,1112.6
20071,F,1137.7
20072,F,1114.5
20073,F,1105.7
20074,F,1114.6
20081,F,1092.5
20082,F,1100.3
20083,F,1103.2
20084,F,1111.3
20091,F,1102.7
20092,F,1083.6
20093,F,1072.1
20094,F,1056.2
20101,F,1047.5
20102,F,1045
20103,F,1045.6
20104,F,1036.2
20111,F,1025.3
20112,F,1022.6
20113,F,1013.4
20114,F,1006.9
20121,F,1001.2
20122,F,1013.4
20123,F,1019.4
20124,F,1034
20131,F,1047.2
20132,F,1042.9
20133,F,1026.9
20134,F,1004.3
20141,F,976.5
20142,F,952.9
20143,F,960.4
20144,F,972.4
20151,F,1021.2
20152,F,1039
20153,F,1038.4
20154,F,1024.4
20161,F,996.9
20162,F,984
20163,F,981.1
20164,F,988.4
20171,F,993.4
20172,F,996.2
20173,F,992.5
20174,F,997.6
20181,F,1033.7
20182,F,1024.6
