Quarter,Sex,Rate
19914,F,546.5
19921,F,548.9
19922,F,548.5
19923,F,547.4
19924,F,540.4
19931,F,536.2
19932,F,536.2
19933,F,533.8
19934,F,546.7
19941,F,544.2
19942,F,538.9
19943,F,544.9
19944,F,525.5
19951,F,523.2
19952,F,523.5
19953,F,511.1
19954,F,514.4
19961,F,517.6
19962,F,510.4
19963,F,511.2
19964,F,508.4
19971,F,504.6
19972,F,508.3
19973,F,502.1
19974,F,492.8
19981,F,489.1
19982,F,482.1
19983,F,484.9
19984,F,486.9
19991,F,489.6
19992,F,484.9
19993,F,480.1
19994,F,480.8
20001,F,478.4
20002,F,475.7
20003,F,472.6
20004,F,459.4
20011,F,451.1
20012,F,447.5
20013,F,445.1
20014,F,446.4
20021,F,438.4
20022,F,442.4
20023,F,443.3
20024,F,442.7
20031,F,444.8
20032,F,438
20033,F,434.5
20034,F,439.6
20041,F,436.9
20042,F,433.3
20043,F,432.1
20044,F,416
20051,F,413.4
20052,F,416.2
20053,F,411.7
20054,F,411.9
20061,F,411.7
20062,F,409.5
20063,F,408.7
20064,F,404.7
20071,F,405.6
20072,F,401
20073,F,400.1
20074,F,401
20081,F,393.1
20082,F,391.8
20083,F,389.7
20084,F,387.8
20091,F,384.2
20092,F,379.7
20093,F,373.4
20094,F,374.4
20101,F,374.6
20102,F,373.1
20103,F,375
20104,F,370.3
20111,F,368.5
20112,F,366.3
20113,F,365.4
20114,F,360.5
20121,F,352.5
20122,F,354.6
20123,F,352.8
20124,F,356.1
20131,F,359.6
20132,F,358.1
20133,F,353
20134,F,349.2
20141,F,341.4
20142,F,335.1
20143,F,335.9
20144,F,334.8
20151,F,343.7
20152,F,346.9
20153,F,346.9
20154,F,347.1
20161,F,348.2
20162,F,346.6
20163,F,347
20164,F,346.7
20171,F,341.6
20172,F,341.7
20173,F,339.7
20174,F,338.8
20181,F,351.4
20182,F,351
