Quarter,Sex,Rate
19904,All,740.3
19911,All,729.6
19912,All,723.1
19913,All,721.5
19914,All,724.1
19921,All,724.4
19922,All,722.7
19923,All,720.4
19924,All,710.4
19931,All,709.1
19932,All,710.6
19933,All,710.2
19934,All,725
19941,All,720
19942,All,712.8
19943,All,711.3
19944,All,688
19951,All,686.7
19952,All,684.3
19953,All,677.1
19954,All,681.9
19961,All,684.3
19962,All,679
19963,All,680.2
19964,All,677
19971,All,667.9
19972,All,668.5
19973,All,658.6
19974,All,651.5
19981,All,644.6
19982,All,638
19983,All,644.3
19984,All,643.3
19991,All,651.3
19992,All,644
19993,All,633.4
19994,All,632.4
20001,All,631.7
20002,All,630.2
20003,All,625.2
20004,All,607.2
20011,All,592
20012,All,589.5
20013,All,589.8
20014,All,592.7
20021,All,584.2
20022,All,586.1
20023,All,586.6
20024,All,588.8
20031,All,589.6
20032,All,583.5
20033,All,576.3
20034,All,573.4
20041,All,568.4
20042,All,561.3
20043,All,559.8
20044,All,546.2
20051,All,542.4
20052,All,541.8
20053,All,534.2
20054,All,530.4
20061,All,529.1
20062,All,527
20063,All,523
20064,All,520
20071,All,519.7
20072,All,516.5
20073,All,515.6
20074,All,516.7
20081,All,508.9
20082,All,505.6
20083,All,503.7
20084,All,501.3
20091,All,496.3
20092,All,487.4
20093,All,481.6
20094,All,477.2
20101,All,476
20102,All,473.1
20103,All,470.4
20104,All,467.4
20111,All,466
20112,All,464.5
20113,All,464.6
20114,All,455.8
20121,All,445.7
20122,All,448
20123,All,443.3
20124,All,445.3
20131,All,446.4
20132,All,446.1
20133,All,441
20134,All,437.4
20141,All,429.3
20142,All,420.3
20143,All,421.9
20144,All,423.2
20151,All,435.5
20152,All,440.9
20153,All,442
20154,All,440.2
20161,All,441
20162,All,437.6
20163,All,438.7
20164,All,439.3
20171,All,430.6
20172,All,429.2
20173,All,424.1
20174,All,425.5
20181,All,437.6
20182,All,438.3
19904,M,956.7
19911,M,941.5
19912,M,934.8
19913,M,932.6
19914,M,940
19921,M,937.6
19922,M,932.7
19923,M,928.7
19924,M,914.3
19931,M,916.5
19932,M,920.1
19933,M,921.9
19934,M,939
19941,M,930.4
19942,M,920.9
19943,M,910.3
19944,M,881.8
19951,M,881.1
19952,M,875.1
19953,M,873.6
19954,M,879.9
19961,M,881.6
19962,M,878.6
19963,M,880.7
19964,M,875.8
19971,M,860.3
19972,M,857
19973,M,842.4
19974,M,838
19981,M,827.1
19982,M,820.4
19983,M,830.2
19984,M,825.3
19991,M,839.1
19992,M,828.6
19993,M,811
19994,M,808
20001,M,808.6
20002,M,808.5
20003,M,801
20004,M,777.8
20011,M,754.4
20012,M,753
20013,M,756.3
20014,M,760.6
20021,M,751.1
20022,M,750.8
20023,M,750.5
20024,M,755.4
20031,M,755
20032,M,749.1
20033,M,737.8
20034,M,725.7
20041,M,717.8
20042,M,706.8
20043,M,704.7
20044,M,693.4
20051,M,688.2
20052,M,683.4
20053,M,672.1
20054,M,663.9
20061,M,661
20062,M,658.3
20063,M,650.4
20064,M,647.9
20071,M,646.3
20072,M,644.9
20073,M,644
20074,M,644.9
20081,M,637.3
20082,M,631.4
20083,M,629.5
20084,M,626.8
20091,M,620.1
20092,M,606.2
20093,M,600.8
20094,M,590.3
20101,M,587.2
20102,M,582.8
20103,M,574.8
20104,M,573.5
20111,M,572.9
20112,M,572.1
20113,M,573.3
20114,M,560.3
20121,M,547.3
20122,M,549.6
20123,M,541.8
20124,M,542
20131,M,540.8
20132,M,541.6
20133,M,536.6
20134,M,533
20141,M,524.8
20142,M,513.1
20143,M,515.4
20144,M,519.2
20151,M,535
20152,M,542.6
20153,M,544.8
20154,M,541
20161,M,541.1
20162,M,535.7
20163,M,537.2
20164,M,538.7
20171,M,526.1
20172,M,523.1
20173,M,514.6
20174,M,518.5
20181,M,529.8
20182,M,531.8
19904,F,563.1
19911,F,555.5
19912,F,549.5
19913,F,548
